===============================================================================
Id,000001.XSHE,len,datetime,open,high,low,close,volume,openinterest,000001.XSHE,len,datetime,open,high,low,close,volume,openinterest,RSIMACDMultiTF,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,000001.XSHE,000001.XSHE
1,000001.XSHE,1,2018-01-02 23:59:59.999989,1544.81,1611.92,1541.34,1585.31,1798880.0,0.0,000001.XSHE,1,2018-01-02 23:59:59.999989,1544.81,1611.92,1541.34,1585.31,1798880.0,0.0,RSIMACDMultiTF,1,736696.9999999999,Broker,1,1000000.0,1000000.0,BuySell,1,,,BuySell,1,,,DataTrades,1,,
2,000001.XSHE,2,2018-01-03 23:59:59.999989,1588.78,1603.82,1527.45,1542.49,2560146.0,0.0,000001.XSHE,2,2018-01-03 23:59:59.999989,1588.78,1603.82,1527.45,1542.49,2560146.0,0.0,RSIMACDMultiTF,2,736697.9999999999,Broker,2,1000000.0,1000000.0,BuySell,2,,,BuySell,2,,,DataTrades,2,,
3,000001.XSHE,3,2018-01-04 23:59:59.999989,1541.34,1547.12,1519.35,1533.24,1602639.0,0.0,000001.XSHE,3,2018-01-04 23:59:59.999989,1541.34,1547.12,1519.35,1533.24,1602639.0,0.0,RSIMACDMultiTF,3,736698.9999999999,Broker,3,1000000.0,1000000.0,BuySell,3,,,BuySell,3,,,DataTrades,3,,
4,000001.XSHE,4,2018-01-05 23:59:59.999989,1528.61,1544.81,1521.67,1539.02,1045934.0,0.0,000001.XSHE,4,2018-01-05 23:59:59.999989,1528.61,1544.81,1521.67,1539.02,1045934.0,0.0,RSIMACDMultiTF,4,736699.9999999999,Broker,4,1000000.0,1000000.0,BuySell,4,,,BuySell,4,,,DataTrades,4,,
5,000001.XSHE,5,2018-01-08 23:59:59.999989,1533.24,1537.87,1488.11,1499.68,1865447.0,0.0,000001.XSHE,5,2018-01-08 23:59:59.999989,1533.24,1537.87,1488.11,1499.68,1865447.0,0.0,RSIMACDMultiTF,5,736702.9999999999,Broker,5,1000000.0,1000000.0,BuySell,5,,,BuySell,5,,,DataTrades,5,,
6,000001.XSHE,6,2018-01-09 23:59:59.999989,1499.68,1527.45,1495.05,1513.57,1161762.0,0.0,000001.XSHE,6,2018-01-09 23:59:59.999989,1499.68,1527.45,1495.05,1513.57,1161762.0,0.0,RSIMACDMultiTF,6,736703.9999999999,Broker,6,1000000.0,1000000.0,BuySell,6,,,BuySell,6,,,DataTrades,6,,
7,000001.XSHE,7,2018-01-10 23:59:59.999989,1508.94,1561.01,1495.05,1558.69,2076876.0,0.0,000001.XSHE,7,2018-01-10 23:59:59.999989,1508.94,1561.01,1495.05,1558.69,2076876.0,0.0,RSIMACDMultiTF,7,736704.9999999999,Broker,7,1000000.0,1000000.0,BuySell,7,,,BuySell,7,,,DataTrades,7,,
8,000001.XSHE,8,2018-01-11 23:59:59.999989,1551.75,1572.58,1535.55,1550.59,1247777.0,0.0,000001.XSHE,8,2018-01-11 23:59:59.999989,1551.75,1572.58,1535.55,1550.59,1247777.0,0.0,RSIMACDMultiTF,8,736705.9999999999,Broker,8,1000000.0,1000000.0,BuySell,8,,,BuySell,8,,,DataTrades,8,,
9,000001.XSHE,9,2018-01-12 23:59:59.999989,1556.38,1582.99,1551.75,1567.95,1170099.0,0.0,000001.XSHE,9,2018-01-12 23:59:59.999989,1556.38,1582.99,1551.75,1567.95,1170099.0,0.0,RSIMACDMultiTF,9,736706.9999999999,Broker,9,1000000.0,1000000.0,BuySell,9,,,BuySell,9,,,DataTrades,9,,
10,000001.XSHE,10,2018-01-15 23:59:59.999989,1563.32,1658.21,1562.17,1643.17,2698326.0,0.0,000001.XSHE,10,2018-01-15 23:59:59.999989,1563.32,1658.21,1562.17,1643.17,2698326.0,0.0,RSIMACDMultiTF,10,736709.9999999999,Broker,10,1000000.0,1000000.0,BuySell,10,,,BuySell,10,,,DataTrades,10,,
11,000001.XSHE,11,2018-01-16 23:59:59.999989,1639.7,1664.0,1622.34,1643.17,2112542.0,0.0,000001.XSHE,11,2018-01-16 23:59:59.999989,1639.7,1664.0,1622.34,1643.17,2112542.0,0.0,RSIMACDMultiTF,11,736710.9999999999,Broker,11,1000000.0,1000000.0,BuySell,11,,,BuySell,11,,,DataTrades,11,,
12,000001.XSHE,12,2018-01-17 23:59:59.999989,1658.21,1712.6,1643.17,1646.64,2295529.0,0.0,000001.XSHE,12,2018-01-17 23:59:59.999989,1658.21,1712.6,1643.17,1646.64,2295529.0,0.0,RSIMACDMultiTF,12,736711.9999999999,Broker,12,1000000.0,1000000.0,BuySell,12,,,BuySell,12,,,DataTrades,12,,
13,000001.XSHE,13,2018-01-18 23:59:59.999989,1666.31,1703.34,1652.42,1703.34,1856292.0,0.0,000001.XSHE,13,2018-01-18 23:59:59.999989,1666.31,1703.34,1652.42,1703.34,1856292.0,0.0,RSIMACDMultiTF,13,736712.9999999999,Broker,13,1000000.0,1000000.0,BuySell,13,,,BuySell,13,,,DataTrades,13,,
14,000001.XSHE,14,2018-01-19 23:59:59.999989,1712.6,1750.78,1698.71,1712.6,2221946.0,0.0,000001.XSHE,14,2018-01-19 23:59:59.999989,1712.6,1750.78,1698.71,1712.6,2221946.0,0.0,RSIMACDMultiTF,14,736713.9999999999,Broker,14,1000000.0,1000000.0,BuySell,14,,,BuySell,14,,,DataTrades,14,,
15,000001.XSHE,15,2018-01-22 23:59:59.999989,1689.45,1728.8,1669.78,1670.94,1792204.0,0.0,000001.XSHE,15,2018-01-22 23:59:59.999989,1689.45,1728.8,1669.78,1670.94,1792204.0,0.0,RSIMACDMultiTF,15,736716.9999999999,Broker,15,1000000.0,1000000.0,BuySell,15,,,BuySell,15,,,DataTrades,15,,
16,000001.XSHE,16,2018-01-23 23:59:59.999989,1661.68,1724.17,1658.21,1695.24,2064357.0,0.0,000001.XSHE,16,2018-01-23 23:59:59.999989,1661.68,1724.17,1658.21,1695.24,2064357.0,0.0,RSIMACDMultiTF,16,736717.9999999999,Broker,16,1000000.0,1000000.0,BuySell,16,,,BuySell,16,,,DataTrades,16,,
17,000001.XSHE,17,2018-01-24 23:59:59.999989,1696.4,1745.0,1677.88,1694.08,2239355.0,0.0,000001.XSHE,17,2018-01-24 23:59:59.999989,1696.4,1745.0,1677.88,1694.08,2239355.0,0.0,RSIMACDMultiTF,17,736718.9999999999,Broker,17,1000000.0,1000000.0,BuySell,17,,,BuySell,17,,,DataTrades,17,,
18,000001.XSHE,18,2018-01-25 23:59:59.999989,1672.1,1674.41,1620.02,1643.17,2048104.0,0.0,000001.XSHE,18,2018-01-25 23:59:59.999989,1672.1,1674.41,1620.02,1643.17,2048104.0,0.0,RSIMACDMultiTF,18,736719.9999999999,Broker,18,1000000.0,1000000.0,BuySell,18,,,BuySell,18,,,DataTrades,18,,
19,000001.XSHE,19,2018-01-26 23:59:59.999989,1640.85,1659.37,1622.34,1625.81,1756878.0,0.0,000001.XSHE,19,2018-01-26 23:59:59.999989,1640.85,1659.37,1622.34,1625.81,1756878.0,0.0,RSIMACDMultiTF,19,736720.9999999999,Broker,19,1000000.0,1000000.0,BuySell,19,,,BuySell,19,,,DataTrades,19,,
20,000001.XSHE,20,2018-01-29 23:59:59.999989,1625.81,1648.95,1573.74,1589.94,1806619.0,0.0,000001.XSHE,20,2018-01-29 23:59:59.999989,1625.81,1648.95,1573.74,1589.94,1806619.0,0.0,RSIMACDMultiTF,20,736723.9999999999,Broker,20,1000000.0,1000000.0,BuySell,20,,,BuySell,20,,,DataTrades,20,,
