===============================================================================
Id,000012.XSHE,len,datetime,open,high,low,close,volume,openinterest,,len,datetime,open,high,low,close,volume,openinterest,PivotMultiTF,len,datetime,LinesCoupler_6,len,p,s1,s2,r1,r2,Broker,len,cash,value,BuySell,len,buy,sell,BuySell,len,buy,sell,DataTrades,len,000012.XSHE,
1,000012.XSHE,1,2018-01-02 23:59:59.999989,205.46,214.83,205.22,212.36,1552305.0,0.0,,0,,,,,,,,PivotMultiTF,1,736696.9999999999,LinesCoupler_6,1,,,,,,Broker,1,1000000.0,1000000.0,BuySell,1,,,BuySell,0,,,DataTrades,1,,
2,000012.XSHE,2,2018-01-03 23:59:59.999989,211.38,226.16,210.64,219.01,2754469.0,0.0,,0,,,,,,,,PivotMultiTF,2,736697.9999999999,LinesCoupler_6,2,,,,,,Broker,2,1000000.0,1000000.0,BuySell,2,,,BuySell,0,,,DataTrades,2,,
3,000012.XSHE,3,2018-01-04 23:59:59.999989,216.55,217.78,212.36,215.56,1623789.0,0.0,,0,,,,,,,,PivotMultiTF,3,736698.9999999999,LinesCoupler_6,3,,,,,,Broker,3,1000000.0,1000000.0,BuySell,3,,,BuySell,0,,,DataTrades,3,,
4,000012.XSHE,4,2018-01-05 23:59:59.999989,214.09,219.26,214.09,214.83,1255981.0,0.0,,0,,,,,,,,PivotMultiTF,4,736699.9999999999,LinesCoupler_6,4,,,,,,Broker,4,1000000.0,1000000.0,BuySell,4,,,BuySell,0,,,DataTrades,4,,
5,000012.XSHE,5,2018-01-08 23:59:59.999989,216.55,221.72,214.58,219.26,1641526.0,0.0,,0,,,,,,,,PivotMultiTF,5,736702.9999999999,LinesCoupler_6,5,,,,,,Broker,5,1000000.0,1000000.0,BuySell,5,,,BuySell,0,,,DataTrades,5,,
6,000012.XSHE,6,2018-01-09 23:59:59.999989,221.23,223.94,218.52,219.75,1699881.0,0.0,,0,,,,,,,,PivotMultiTF,6,736703.9999999999,LinesCoupler_6,6,,,,,,Broker,6,1000000.0,1000000.0,BuySell,6,,,BuySell,0,,,DataTrades,6,,
7,000012.XSHE,7,2018-01-10 23:59:59.999989,217.29,219.75,213.35,215.56,1143162.0,0.0,,0,,,,,,,,PivotMultiTF,7,736704.9999999999,LinesCoupler_6,7,,,,,,Broker,7,1000000.0,1000000.0,BuySell,7,,,BuySell,0,,,DataTrades,7,,
8,000012.XSHE,8,2018-01-11 23:59:59.999989,216.8,223.2,216.06,219.01,1474273.0,0.0,,0,,,,,,,,PivotMultiTF,8,736705.9999999999,LinesCoupler_6,8,,,,,,Broker,8,1000000.0,1000000.0,BuySell,8,,,BuySell,0,,,DataTrades,8,,
9,000012.XSHE,9,2018-01-12 23:59:59.999989,218.52,220.74,213.59,214.33,1000607.0,0.0,,0,,,,,,,,PivotMultiTF,9,736706.9999999999,LinesCoupler_6,9,,,,,,Broker,9,1000000.0,1000000.0,BuySell,9,,,BuySell,0,,,DataTrades,9,,
10,000012.XSHE,10,2018-01-15 23:59:59.999989,214.33,219.26,213.59,214.83,1074522.0,0.0,,0,,,,,,,,PivotMultiTF,10,736709.9999999999,LinesCoupler_6,10,,,,,,Broker,10,1000000.0,1000000.0,BuySell,10,,,BuySell,0,,,DataTrades,10,,
